path,title,title_length,description,description_length,h1,clicks_from_home,structured_data,schema_org_validator
/,Pain Management Group | Hospital Pain Management Partners,57,"Pain Management Group partners with hospitals to build and run physician-led pain management programs that are medically, socially, and financially responsible.",160,You run the hospital.We make pain management work.,0,Organization FAQPage,
/partnership/,The PMG Partnership Model | Pain Management Group,49,"How Pain Management Group partners with hospitals to build a pain management service line, from launch through long-term operation.",131,The PMG Partnership Model,1,Organization BreadcrumbList DefinedTermSet FAQPage,
/partnership/how-it-works/,How the Partnership Works | Pain Management Group,49,"The four phases of a PMG hospital partnership: assess, design, build and launch, then manage and grow, with what PMG and the hospital each own in every phase.",158,How the Partnership Works,1,Organization BreadcrumbList DefinedTermSet FAQPage,
/partnership/balanced-pain-treatment/,The Balanced Pain Treatment Model | Pain Management Group,57,"PMG's Balanced Pain Treatment model: pain care that is medically, socially, and financially responsible for patients, communities, and hospitals.",145,The Balanced Pain Treatment Model,1,Organization BreadcrumbList DefinedTermSet FAQPage,
/partnership/financial-model/,Partnership and Financial Model | Pain Management Group,55,"How PMG's joint-venture pain management partnerships are structured and funded, explained plainly for hospital CEOs and CFOs.",125,Partnership and Financial Model,1,Organization BreadcrumbList DefinedTermSet FAQPage,
/partnership/questions/,What Hospital Leaders Ask | Pain Management Group,49,"Direct answers to the questions hospital CEOs, CFOs, and boards ask before starting a pain management partnership with Pain Management Group.",141,What Hospital Leaders Ask,1,Organization BreadcrumbList FAQPage,
/results/,Results and Outcomes | Pain Management Group,44,"Pain Management Group partnership results for hospital leaders: the program dashboard, partner case studies, and what hospital executives say about PMG.",152,Results and Outcomes,1,Organization BreadcrumbList DefinedTermSet FAQPage,
/results/dashboard/,Program Dashboard | Pain Management Group,41,"The Pain Management Group program dashboard: partner network size, patient encounters, and program retention across PMG hospital partner programs.",146,Program Dashboard,1,Organization BreadcrumbList,
/results/testimonials/,Testimonials | Pain Management Group,36,What hospital CEOs and administrators say about partnering with Pain Management Group to build and run a hospital-based pain management program.,144,Testimonials,1,Organization BreadcrumbList,
/our-partners/,Our Hospital Partners | Pain Management Group,45,"Find a Pain Management Group partner near you: 40 partner hospitals in 10 states, each with a hospital-based pain management center.",132,Our Hospital Partners,1,Organization BreadcrumbList,
/our-partners/illinois/,Illinois Hospital Pain Management Partners | PMG,48,"All 3 Pain Management Group partner hospitals in Illinois, with city, phone number, and website for each hospital-based pain management center where available.",159,Illinois Hospital Pain Management Partners,1,Organization BreadcrumbList ItemList FAQPage,
/our-partners/indiana/,Indiana Hospital Pain Management Partners | PMG,47,"All 4 Pain Management Group partner hospitals in Indiana, with city, phone number, and website for each hospital-based pain management center where available.",158,Indiana Hospital Pain Management Partners,1,Organization BreadcrumbList ItemList FAQPage,
/our-partners/kentucky/,Kentucky Hospital Pain Management Partners | PMG,48,"All 5 Pain Management Group partner hospitals in Kentucky, with city, phone number, and website for each hospital-based pain management center where available.",159,Kentucky Hospital Pain Management Partners,1,Organization BreadcrumbList ItemList FAQPage,
/our-partners/maine/,Maine Hospital Pain Management Partners | PMG,45,"Both Pain Management Group partner hospitals in Maine, with city, phone number, and website for each hospital-based pain management center where available.",155,Maine Hospital Pain Management Partners,1,Organization BreadcrumbList ItemList FAQPage,
/our-partners/michigan/,Michigan Hospital Pain Management Partners | PMG,48,"All 3 Pain Management Group partner hospitals in Michigan, with city, phone number, and website for each hospital-based pain management center where available.",159,Michigan Hospital Pain Management Partners,1,Organization BreadcrumbList ItemList FAQPage,
/our-partners/north-carolina/,North Carolina Hospital Pain Management Partners | PMG,54,"Pain Management Group's partner hospital in North Carolina, with city, phone number, and website for each hospital-based pain management center where available.",160,North Carolina Hospital Pain Management Partners,1,Organization BreadcrumbList ItemList FAQPage,
/our-partners/ohio/,Ohio Hospital Pain Management Partners | PMG,44,"All 18 Pain Management Group partner hospitals in Ohio, with city, phone number, and website for each hospital-based pain management center where available.",156,Ohio Hospital Pain Management Partners,1,Organization BreadcrumbList ItemList FAQPage,
/our-partners/pennsylvania/,Pennsylvania Hospital Pain Management Partners | PMG,52,"Pain Management Group's partner hospital in Pennsylvania, with city, phone number, and website for each hospital-based pain management center where available.",158,Pennsylvania Hospital Pain Management Partners,1,Organization BreadcrumbList ItemList FAQPage,
/our-partners/tennessee/,Tennessee Hospital Pain Management Partners | PMG,49,"Both Pain Management Group partner hospitals in Tennessee, with city, phone number, and website for each hospital-based pain management center where available.",159,Tennessee Hospital Pain Management Partners,1,Organization BreadcrumbList ItemList FAQPage,
/our-partners/wisconsin/,Wisconsin Hospital Pain Management Partners | PMG,49,"Pain Management Group's partner hospital in Wisconsin, with city, phone number, and website for each hospital-based pain management center where available.",155,Wisconsin Hospital Pain Management Partners,1,Organization BreadcrumbList ItemList FAQPage,
/providers/,For Providers and APPs | Pain Management Group,46,Pain management physician and advanced practice provider careers with Pain Management Group's hospital partner programs.,120,For Providers and APPs,1,Organization BreadcrumbList,
/providers/why-pmg/,Why Practice With PMG | Pain Management Group,45,"Practice autonomy, procedure support, and predictable schedules for pain management physicians and APPs at PMG partner hospitals.",129,Why Practice With PMG,1,Organization BreadcrumbList,
/providers/opportunities/,Open Opportunities | Pain Management Group,42,"Current pain management physician and advanced practice provider openings with Pain Management Group, posted on Indeed and CareerMD.",132,Open Opportunities,1,Organization BreadcrumbList,
/pain-education/,Pain Education | Pain Management Group,38,"Patient education from Pain Management Group: pain conditions, interventional pain procedures, and pain medications, with videos for many procedures.",149,Pain Education,1,Organization BreadcrumbList,
/pain-education/bursitis-of-the-hip-trochanteric-bursitis/,Bursitis of the Hip (Trochanteric Bursitis) | PMG,49,"What is Bursitis of the hip? Bursitis of the hip, also known as trochanteric bursitis, is an irritation or swelling of the trochanteric bursa.",142,Bursitis of the Hip (Trochanteric Bursitis),2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/cervical-radiculopathy/,Cervical Radiculopathy | Pain Management Group,46,What is cervical radiculopathy? Cervical radiculopathy is a condition characterized by the irritation or compression of one or more nerve roots in the cervical…,160,Cervical Radiculopathy,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/complex-regional-pain-syndrome-crps/,Complex Regional Pain Syndrome (CRPS) | PMG,43,"What is Complex Regional Pain Syndrome (CRPS)? Complex Regional Pain Syndrome (CRPS) is a type of chronic, debilitating pain condition that typically develops…",159,Complex Regional Pain Syndrome (CRPS),2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/post-laminectomy-syndrome/,Post-Laminectomy Syndrome | Pain Management Group,49,"This condition, also called “failed back syndrome,” is a type of chronic pain. It can develop in some people after spine surgery.",129,Post-Laminectomy Syndrome,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/spinal-stenosis/,Spinal Stenosis | Pain Management Group,39,What is Spinal Stenosis? Spinal stenosis is a medical condition in which the spinal canal – the space within the spine that houses the spinal cord and nerve…,157,Spinal Stenosis,2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/spondylosis/,Spondylosis | Pain Management Group,35,"This condition is a degeneration of the spine that can affect the spine at any level, resulting in pain and discomfort that can grow worse over time.",149,Spondylosis,2,Organization BreadcrumbList MedicalWebPage,
/pain-education/lumbar-radiculopathy-sciatica/,Lumbar Radiculopathy (Sciatica) | Pain Management Group,55,"What is Lumbar Radiculopathy (Sciatica)? Lumbar radiculopathy, also known as sciatica, is a condition characterized by the irritation or compression of one or…",159,Lumbar Radiculopathy (Sciatica),2,Organization BreadcrumbList MedicalWebPage FAQPage,
/pain-education/basivertebral-nerve-ablation-bvn/,Basivertebral Nerve Ablation (BVN) | Pain Management Group,58,This procedure treats a painful nerve in one of your vertebrae (those are the bones that make up your spine). The nerve is heated to stop it from sending pain…,159,Basivertebral Nerve Ablation (BVN),2,Organization BreadcrumbList MedicalWebPage,
