path,section,audience,title,words,h2s,internal_links,tbd,sample_figures,faq_schema,schema,depth,priority,question_answered,target_phrases,actions,pmg_input
/,home,hospital,Hospital Pain Management Partnerships,725,6,15,4,6,no,,substantial,P1,What does Pain Management Group do for hospitals?,hospital pain management partnership; pain management service line; outsourced pain management program; Pain Management Group Findlay Ohio,FAQPage schema on the four home questions; confirmed figures replace samples,Figures in sections 1 and 5 of the confirmation list
/partnership/,partnership,hospital,The PMG Partnership Model,499,4,6,0,2,no,,moderate,P1,"Why should a hospital add a pain management service line, and how does PMG partner?",hospital pain management program; pain management service line; hospital pain clinic partnership; joint venture pain management,"direct answer in the first 50 words; H2s as questions; key facts block; 3 to 5 page FAQs with FAQPage schema; plain-language definitions; related links both ways; grow to 900 to 1,200 words from the interview","Partnership structure, partner count, four-element model detail"
/partnership/how-it-works/,partnership,hospital,How the Partnership Works,508,4,3,5,3,no,,moderate,P1,"How is a PMG hospital partnership launched, phase by phase?",how to start a hospital pain management program; opening a hospital pain management center; pain clinic implementation timeline; pain management program launch,direct answer in the first 50 words; H2s as questions; key facts block; 3 to 5 page FAQs with FAQPage schema; plain-language definitions; related links both ways; HowTo schema on the four phases once the phase content is confirmed,"What each phase includes, who does what, typical timeline"
/partnership/balanced-pain-treatment/,partnership,hospital,The Balanced Pain Treatment Model,307,4,6,2,0,no,,moderate,P1,What is Balanced Pain Treatment and how does it keep pain care responsible?,balanced pain treatment; multimodal pain management program hospital; responsible opioid prescribing hospital program; interventional pain management program,direct answer in the first 50 words; H2s as questions; key facts block; 3 to 5 page FAQs with FAQPage schema; plain-language definitions; related links both ways; definitions of the three responsibilities; link each Pain Education procedure,Treatment plan components and prescribing protocols (clinical sign-off)
/partnership/financial-model/,partnership,hospital,Partnership and Financial Model,327,6,3,4,1,no,,moderate,P1,How is a PMG partnership structured and how does it pay for itself?,hospital pain management joint venture; pain management program ROI hospital; pain clinic revenue for hospitals; hospital service line financial model,direct answer in the first 50 words; H2s as questions; key facts block; 3 to 5 page FAQs with FAQPage schema; plain-language definitions; related links both ways; worked example only with PMG-confirmed figures,"Structure, startup investment, billing and revenue share, break-even"
/partnership/questions/,partnership,hospital,What Hospital Leaders Ask,828,13,9,10,5,yes,FAQPage,substantial,P1,"What do hospital leaders ask before partnering, and what are the answers?",questions to ask a pain management partner; outsourcing pain management hospital; pain management partnership contract; hospital pain program risks,fill the 10 placeholders; keep answer-first format; add 3 to 5 questions PMG hears most,Answers to the 10 open questions; sign-off on opioid and exit answers
/results/,results,hospital,Results and Outcomes,226,3,4,1,3,no,,thin,P1,What results do PMG partnerships produce for hospitals?,hospital pain management program outcomes; pain management partnership results; pain clinic patient volume hospital; pain program retention,"direct answer in the first 50 words; H2s as questions; key facts block; 3 to 5 page FAQs with FAQPage schema; plain-language definitions; related links both ways; each figure with definition, source, period",Every figure on Results and the dashboard
/results/dashboard/,results,hospital,Program Dashboard,349,4,4,0,30,no,,moderate,P2,"Which measures does PMG track, and what are the current numbers?",pain management program KPIs; pain clinic metrics hospital; pain management outcomes dashboard,method note per measure; last-updated date; Dataset schema once real,"Confirmed measures, values, sources, periods"
/results/testimonials/,results,hospital,Testimonials,224,0,3,0,0,no,,thin,P3,What do partner hospital leaders say about PMG?,Pain Management Group reviews; PMG partner hospital testimonials,"context line per quote (hospital, role, year) once confirmed; no Review schema without consent",Confirm titles and years; permission for any new quotes
/our-partners/,our-partners,hospital,Our Hospital Partners,348,2,11,0,0,no,,moderate,P1,"Where are PMG partner hospitals, and how do patients make an appointment?",Pain Management Group partner hospitals; pain management clinic near me; hospital pain clinic locations; PMG pain clinics,one-line summary per state; how appointments work; patient FAQs with schema,Directory confirmation (section 7); appointment guidance
